"","iso_o","iso_d","contig","comlang_off","comlang_ethno","colony","comcol","curcol","col45","smctry","dist","distcap","distw","distwces"
"43514","THA","ECU",0,0,0,0,0,0,0,0,18527.28,18527.28,"18665.23","18662.28"
"43515","THA","EGY",0,0,0,0,0,0,0,0,7275.437,7275.437,"7301.336","7299.275"
"43516","THA","ERI",0,0,0,0,0,0,0,0,6618.011,6618.011,"6585.624","6582.248"
"43517","THA","ESH",0,0,0,0,0,0,0,0,11554.33,11554.33,"11615.76","11612.54"
"43518","THA","ESP",0,0,0,0,0,0,0,0,10193.69,10193.69,"10147.86","10134.14"
"43519","THA","EST",0,0,0,0,0,0,0,0,7899.071,7899.071,"7853.895","7849.721"
"43520","THA","ETH",0,0,0,0,0,0,0,0,6732.048,6732.048,"6737.69","6734.568"
"43521","THA","FIN",0,0,0,0,0,0,0,0,7892.627,7892.627,"7919.527","7915.064"
"43522","THA","FJI",0,0,0,0,0,0,0,0,9253.933,9253.933,"9216.209","9214.965"
"43523","THA","FLK",0,0,0,0,0,0,0,0,15385.57,15385.57,"15383.93","15380.63"
"43524","THA","FRA",0,0,0,0,0,0,0,0,9454.805,9454.805,"9475.635","9470.205"
"43525","THA","FRO",0,0,0,0,0,0,0,0,9542.317,9542.317,"9545.385","9542.245"
"43526","THA","FSM",0,0,0,0,0,0,0,0,6355.171,6355.171,"5766.433","5683.917"
"43527","THA","GAB",0,0,0,0,0,0,0,0,10123.92,10123.92,"10086","10083.55"
"43528","THA","GBR",0,0,0,0,0,0,0,0,9545.471,9545.471,"9590.161","9587.121"
"43529","THA","GEO",0,0,0,0,0,0,0,0,6174.297,6174.297,"6272.076","6266.938"
"43530","THA","GHA",0,0,0,0,0,0,0,0,11024.74,11024.74,"11058.23","11057.15"
"43531","THA","GIB",0,0,0,0,0,0,0,0,10491.11,10491.11,"10498.84","10497.28"
"43532","THA","GIN",0,0,0,0,0,0,0,0,12530.11,12530.11,"12220.96","12217.85"
"43533","THA","GLP",0,0,0,0,0,0,0,0,16190.46,16190.46,"16159.24","16157.55"
"43534","THA","GMB",0,0,0,0,0,0,0,0,12473.73,12473.73,"12455.52","12454.42"
"43535","THA","GNB",0,0,0,0,0,0,0,0,12434.92,12434.92,"12428.17","12427.41"
"43536","THA","GNQ",0,0,0,0,0,0,0,0,10101.29,10101.29,"10074.47","10073.36"
"43537","THA","GRC",0,0,0,0,0,0,0,0,7930.385,7930.385,"7958.269","7956.036"
"43538","THA","GRD",0,0,0,0,0,0,0,0,16557,16557,"16549.27","16547.78"
"43539","THA","GRL",0,0,0,0,0,0,0,0,11045.66,11045.66,"10806.9","10790.96"
"43540","THA","GTM",0,0,0,0,0,0,0,0,16651.5,16651.5,"16631.91","16629.68"
"43541","THA","GUF",0,0,0,0,0,0,0,0,16383.98,16383.98,"16429.45","16428.31"
"43542","THA","GUY",0,0,0,0,0,0,0,0,16753.36,16753.36,"16767.33","16766.21"
"43543","THA","HKG",0,0,0,0,0,0,0,0,1727.328,1727.328,"1724.194","1711.51"
"43544","THA","HND",0,0,0,0,0,0,0,0,16822.74,16822.74,"16707.25","16704.53"
"43545","THA","HRV",0,0,0,0,0,0,0,0,8506.062,8506.062,"8498.078","8494.837"
"43546","THA","HTI",0,0,0,0,0,0,0,0,16355.74,16355.74,"16339.08","16336.75"
"43547","THA","HUN",0,0,0,0,0,0,0,0,8256.267,8256.267,"8250.659","8247.187"
"43548","THA","IDN",0,0,0,0,0,0,0,0,2316.466,2316.466,"2305.686","2161.315"
"43549","THA","IND",0,0,0,0,0,0,0,0,2919.706,2919.706,"2716.949","2634"
"43550","THA","IRL",0,0,0,0,0,0,0,0,9868.662,9868.662,"9923.799","9920.599"
"43551","THA","IRN",0,0,0,0,0,0,0,0,5458.478,5458.478,"5435.565","5409.916"
"43552","THA","IRQ",0,0,0,0,0,0,0,0,6043.758,6043.758,"6027.234","6021.702"
"43553","THA","ISL",0,0,0,0,0,0,0,0,10104.41,10104.41,"10078.55","10074.69"
"43554","THA","ISR",0,0,0,0,0,0,0,0,6937.416,6937.416,"6935.572","6933.795"
"43555","THA","ITA",0,0,0,0,0,0,0,0,8838.563,8838.563,"8875.156","8869.951"
"43556","THA","JAM",0,0,0,0,0,0,0,0,16493.24,16493.24,"16481.59","16479.25"
"43557","THA","JOR",0,0,0,0,0,0,0,0,6827.08,6827.08,"6841.131","6839.332"
"43558","THA","JPN",0,0,0,0,0,0,0,0,4612.997,4612.997,"4417.599","4386.381"
"43559","THA","KAZ",0,0,0,0,0,0,0,0,3982.132,4913.997,"4698.118","4626.664"
"43560","THA","KEN",0,0,0,0,0,0,0,0,7214.256,7214.256,"7205.6","7201.799"
"43561","THA","KGZ",0,0,0,0,0,0,0,0,4085.156,4085.156,"4062.257","4054.694"
"43562","THA","KHM",1,0,0,0,0,0,0,0,535.9692,535.9692,"520.5353","484.6071"
"43563","THA","KIR",0,0,0,0,0,0,0,0,8105.108,8105.108,"8213.895","8180.69"
"43564","THA","KNA",0,0,0,0,0,0,0,0,16120.13,16120.13,"15711.86","14650.1"
"43565","THA","KOR",0,0,0,0,0,0,0,0,3724.624,3724.624,"3699.128","3691.079"
"43566","THA","KWT",0,0,0,0,0,0,0,0,5655.574,5655.574,"5666.313","5664.342"
"43567","THA","LAO",1,0,1,0,0,0,0,0,525.2488,525.2488,"636.1273","552.4743"
"43568","THA","LBN",0,0,0,0,0,0,0,0,6873.743,6873.743,"6879.129","6877.203"
"43569","THA","LBR",0,0,0,0,0,0,0,0,12121.04,12121.04,"12087.12","12085.83"
"43570","THA","LBY",0,0,0,0,0,0,0,0,8955.517,8955.517,"8718.027","8702.555"
"43571","THA","LCA",0,0,0,0,0,0,0,0,16332.11,16332.11,"16337.08","16335.54"
"43572","THA","LKA",0,0,0,0,0,0,0,0,2381.501,2381.501,"2353.131","2347.388"
"43573","THA","LSO",0,0,0,0,0,0,0,0,9178.095,9178.095,"9177.092","9174.889"
"43574","THA","LTU",0,0,0,0,0,0,0,0,7822.797,7822.797,"7923.042","7918.854"
"43575","THA","LUX",0,0,0,0,0,0,0,0,9166.024,9166.024,"9179.172","9176.738"
"43576","THA","LVA",0,0,0,0,0,0,0,0,7915.756,7915.756,"7911.151","7906.871"
"43577","THA","MAC",0,0,0,0,0,0,0,0,1675.81,1675.81,".","."
"43578","THA","MAR",0,0,0,0,0,0,0,0,10701.82,10701.82,"10724.07","10719.47"
"43579","THA","MDA",0,0,0,0,0,0,0,0,7517.33,7517.33,"7528.571","7525.606"
